t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region
2023-12-20 02:29:13.105307520+00:00,2024-01-19 02:29:13.105307520+00:00,61,3,,,False,6.393009957102014,-4.9040120204805896e-08,,,null_A,California
2022-08-21 21:10:11.032182528+00:00,2022-09-20 21:10:11.032182528+00:00,87,5,,,False,6.483721500642348,2.431314957642625e-07,,,null_A,California
2017-06-07 23:41:51.535954688+00:00,2017-07-07 23:41:51.535954688+00:00,12,0,,,False,5.6204775458115295,6.161553828296667e-08,,,null_A,California
2006-08-16 18:24:57.827485312+00:00,2006-09-15 18:24:57.827485312+00:00,41,3,,,False,6.322471840254156,-1.6108129624754263e-08,,,null_A,California
2024-02-24 08:16:45.735016064+00:00,2024-03-25 08:16:45.735016064+00:00,69,0,,,False,6.2075991825949295,8.066380947306565e-09,,,null_A,California
2019-05-28 08:10:36.223885696+00:00,2019-06-27 08:10:36.223885696+00:00,41,3,,,False,6.631017223884732,8.195892673674596e-07,,,null_A,California
2017-11-11 08:45:49.742115648+00:00,2017-12-11 08:45:49.742115648+00:00,27,1,,,False,6.0270163628002305,-2.1476871260976353e-07,,,null_A,California
2011-03-13 16:01:55.337801920+00:00,2011-04-12 16:01:55.337801920+00:00,68,7,,,False,6.539374227278291,3.8184777738702135e-07,,,null_A,California
2022-06-28 11:24:37.709889792+00:00,2022-07-28 11:24:37.709889792+00:00,95,2,,,False,6.474826098433744,8.402503771191024e-08,,,null_A,California
2011-05-11 01:07:43.564998144+00:00,2011-06-10 01:07:43.564998144+00:00,84,2,,,False,6.477256654600321,-1.4777575000052792e-07,,,null_A,California
2005-01-15 19:30:54.270114080+00:00,2005-02-14 19:30:54.270114080+00:00,42,2,,,False,6.296078856536776,2.4252602754914764e-07,,,null_A,California
2014-06-07 11:12:06.757302592+00:00,2014-07-07 11:12:06.757302592+00:00,5,1,,,False,5.4962735906507145,1.7829729094938268e-07,,,null_A,California
2021-05-05 22:50:20.109757312+00:00,2021-06-04 22:50:20.109757312+00:00,107,2,,,False,6.467726080190886,4.532758864113953e-08,,,null_A,California
2018-11-25 05:18:24.642360448+00:00,2018-12-25 05:18:24.642360448+00:00,21,2,,,False,6.119855278436578,-1.491421600230087e-07,,,null_A,California
2017-12-04 18:41:56.538006528+00:00,2018-01-03 18:41:56.538006528+00:00,31,0,,,False,5.984217472141611,2.551414289717026e-08,,,null_A,California
2010-10-07 12:18:41.582593664+00:00,2010-11-06 12:18:41.582593664+00:00,133,12,,,False,6.813054474468675,-1.6055652565269624e-07,,,null_A,California
2015-08-19 02:42:06.140538880+00:00,2015-09-18 02:42:06.140538880+00:00,18,4,,,False,6.013661098328196,1.2308706981109348e-07,,,null_A,California
2016-03-11 05:19:29.841112192+00:00,2016-04-10 05:19:29.841112192+00:00,18,0,,,False,5.797934157366857,-8.34177783307807e-08,,,null_A,California
2001-01-13 21:12:28.732567144+00:00,2001-02-12 21:12:28.732567144+00:00,54,12,,,False,6.57697219661252,3.5481986852404033e-07,,,null_A,California
2012-04-22 19:49:12.012431040+00:00,2012-05-22 19:49:12.012431040+00:00,57,4,,,False,6.3987156987137945,-2.3995292224387496e-07,,,null_A,California
2003-08-08 10:28:24.225771616+00:00,2003-09-07 10:28:24.225771616+00:00,40,3,,,False,6.255255373080612,-1.010256448472346e-07,,,null_A,California
2014-06-24 05:25:54.036104768+00:00,2014-07-24 05:25:54.036104768+00:00,10,1,,,False,5.664499213579047,-3.553401341571189e-08,,,null_A,California
2023-11-19 17:18:48.494807424+00:00,2023-12-19 17:18:48.494807424+00:00,73,2,,,False,6.397436481955712,-1.8448860311556348e-07,,,null_A,California
2019-07-03 14:25:10.036572160+00:00,2019-08-02 14:25:10.036572160+00:00,752,172,0.8333182829915148,0.10018466449069575,True,8.205757786548272,-5.748617896265939e-05,,,null_A,California
2011-10-19 05:58:04.760836160+00:00,2011-11-18 05:58:04.760836160+00:00,54,4,,,False,6.389022256189623,-7.285747468568076e-08,,,null_A,California
2006-08-26 19:55:11.135936544+00:00,2006-09-25 19:55:11.135936544+00:00,38,3,,,False,6.272354402074776,4.630413148168068e-08,,,null_A,California
2010-12-08 13:34:06.353926272+00:00,2011-01-07 13:34:06.353926272+00:00,138,17,,,False,6.865545560287839,-6.710397592179002e-07,,,null_A,California
2020-08-02 23:55:45.370543232+00:00,2020-09-01 23:55:45.370543232+00:00,147,4,,,False,6.736306304351034,-4.6026272593397125e-07,,,null_A,California
2022-04-30 20:27:07.535597568+00:00,2022-05-30 20:27:07.535597568+00:00,80,2,,,False,6.277624588245243,-7.827501592499352e-08,,,null_A,California
2003-06-30 12:43:12.755695456+00:00,2003-07-30 12:43:12.755695456+00:00,38,2,,,False,6.192099259536655,-4.113340454612187e-08,,,null_A,California
2013-10-21 06:43:16.745730944+00:00,2013-11-20 06:43:16.745730944+00:00,15,0,,,False,5.563048899555553,1.868324377454601e-09,,,null_A,California
2002-09-15 06:43:56.039076032+00:00,2002-10-15 06:43:56.039076032+00:00,47,7,,,False,6.4607240092835125,-1.6655473368786893e-07,,,null_A,California
2019-02-25 09:25:22.280387584+00:00,2019-03-27 09:25:22.280387584+00:00,23,0,,,False,5.875733297289816,1.0132224600563232e-08,,,null_A,California
2002-09-07 16:23:56.502637968+00:00,2002-10-07 16:23:56.502637968+00:00,41,7,,,False,6.423242018232637,3.325994174902817e-07,,,null_A,California
2005-09-26 06:33:24.466784832+00:00,2005-10-26 06:33:24.466784832+00:00,60,14,,,False,6.7060593565267,-2.802507792516368e-07,,,null_A,California
2000-12-06 15:30:16.309617120+00:00,2001-01-05 15:30:16.309617120+00:00,62,8,,,False,6.562717928194448,-1.1802989072871372e-07,,,null_A,California
2013-10-28 17:01:13.848340480+00:00,2013-11-27 17:01:13.848340480+00:00,11,0,,,False,5.394919488621656,-2.036917434820358e-08,,,null_A,California
2009-03-29 19:35:49.850988480+00:00,2009-04-28 19:35:49.850988480+00:00,69,5,,,False,6.540953959521166,1.783213017613829e-08,,,null_A,California
2020-09-03 19:54:40.765064448+00:00,2020-10-03 19:54:40.765064448+00:00,266,11,,,False,6.988028929192287,2.5310690235731315e-06,,,null_A,California
2001-02-12 21:12:24.195748956+00:00,2001-03-14 21:12:24.195748956+00:00,38,4,,,False,6.306727472519918,-3.2011011860365897e-07,,,null_A,California
2010-11-03 20:26:23.000026176+00:00,2010-12-03 20:26:23.000026176+00:00,139,13,,,False,6.796390753956625,-1.675025935541086e-07,,,null_A,California
2022-03-21 01:10:46.628257024+00:00,2022-04-20 01:10:46.628257024+00:00,88,2,,,False,6.414718538395617,-1.3589289788158396e-07,,,null_A,California
2018-08-27 00:28:03.001830528+00:00,2018-09-26 00:28:03.001830528+00:00,14,2,,,False,5.946768850269348,-1.196467293379952e-07,,,null_A,California
