t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind
2015-10-25 12:02:10.021630912+00:00,2015-11-24 12:02:10.021630912+00:00,40,40,0.6381990917020599,0.019859671880892854,True,5.395703098131502,-1.60388980183636e-08,,,null
2013-10-17 02:14:37.818404992+00:00,2013-11-16 02:14:37.818404992+00:00,29,29,,,False,5.3012727092753265,4.165902330237724e-08,,,null
2013-12-07 07:25:10.661550784+00:00,2014-01-06 07:25:10.661550784+00:00,41,41,0.6161271196551323,0.009105358204209187,True,5.39782995393962,-3.321620381858382e-08,,,null
2007-07-29 07:58:00.113138592+00:00,2007-08-28 07:58:00.113138592+00:00,39,39,0.8166578975037041,0.013410848577584974,True,5.262678433034021,-1.7389747483169088e-08,,,null
2000-10-07 16:20:17.111014972+00:00,2000-11-06 16:20:17.111014972+00:00,52,52,0.7406793394217479,-0.025752313241861106,True,5.394062109659168,4.193642523246717e-09,,,null
2010-11-18 14:03:53.836082752+00:00,2010-12-18 14:03:53.836082752+00:00,35,35,0.6874856113348625,0.004960658405046467,True,5.3054074658451515,-1.9776711054786435e-08,,,null
2005-05-07 01:23:55.826998656+00:00,2005-06-06 01:23:55.826998656+00:00,212,212,0.7092160696617574,-0.0030445400170848328,True,6.3035718028357115,-1.784137297605429e-07,,,null
2010-03-07 01:16:38.476152128+00:00,2010-04-06 01:16:38.476152128+00:00,36,36,0.6830319505686789,-0.011205065303685887,True,5.396377919706182,2.0622023733331865e-08,,,null
2021-04-06 15:37:20.506953344+00:00,2021-05-06 15:37:20.506953344+00:00,23,23,,,False,5.162775795053585,2.2735857325006406e-08,,,null
2005-10-30 04:44:27.684487680+00:00,2005-11-29 04:44:27.684487680+00:00,80,80,0.795957813339293,-0.0047480492816627685,True,5.567201552327211,-1.5189084469379173e-08,,,null
2001-06-14 19:23:53.716664784+00:00,2001-07-14 19:23:53.716664784+00:00,35,35,0.945880950007082,-0.011746400469929133,True,5.0785774336459095,-2.454745897088132e-09,,,null
2007-01-04 23:12:52.692100256+00:00,2007-02-03 23:12:52.692100256+00:00,63,63,0.6514417228548779,0.009856669764790436,True,5.545405615444485,-3.569857343303523e-08,,,null
2007-04-26 02:00:27.596252416+00:00,2007-05-26 02:00:27.596252416+00:00,51,51,0.678377291793747,0.004501174218509618,True,5.708685098296597,9.309148119649273e-08,,,null
2016-06-29 00:28:28.487786752+00:00,2016-07-29 00:28:28.487786752+00:00,28,28,,,False,5.055604976857135,1.4713354401271588e-08,,,null
2013-11-17 12:22:10.505873152+00:00,2013-12-17 12:22:10.505873152+00:00,38,38,0.6978093155316516,-0.020352040670815245,True,5.29677038802825,2.6951980660704882e-08,,,null
2019-07-14 02:51:31.026396288+00:00,2019-08-13 02:51:31.026396288+00:00,36,36,0.5413643126217818,0.025145865064474426,True,5.503531559903944,-1.9068265000304476e-08,,,null
2016-07-20 20:00:57.809591552+00:00,2016-08-19 20:00:57.809591552+00:00,17,17,,,False,4.86120648168836,-2.214243451436221e-09,,,null
2010-02-15 13:29:03.576004608+00:00,2010-03-17 13:29:03.576004608+00:00,30,30,0.7713933959205187,,False,5.104570286187346,1.1998052358343008e-08,,,null
2020-04-13 05:55:56.699393792+00:00,2020-05-13 05:55:56.699393792+00:00,20,20,,,False,5.242533943797878,2.3756603445884302e-08,,,null
2004-02-28 18:22:28.293422592+00:00,2004-03-29 18:22:28.293422592+00:00,177,177,0.6812311529322542,-0.00908899656012788,True,6.038329778882205,-1.362150811605019e-07,,,null
2000-07-25 21:56:04.794755694+00:00,2000-08-24 21:56:04.794755694+00:00,30,30,0.836253816245029,,False,5.074029980407867,2.6520329151624077e-08,,,null
2002-03-30 16:56:38.281191264+00:00,2002-04-29 16:56:38.281191264+00:00,37,37,0.8215181917392798,0.006253271983508526,True,5.174874385349662,-6.104325827557273e-09,,,null
2017-12-31 01:58:25.750834944+00:00,2018-01-30 01:58:25.750834944+00:00,44,44,0.5598874070830085,-0.0008730475227261958,True,5.5514705928034855,-1.7889076284551454e-08,,,null
2011-07-05 13:18:01.915628032+00:00,2011-08-04 13:18:01.915628032+00:00,34,34,0.7682628712128285,,False,5.239350435305057,-2.8076943669740712e-09,,,null
2004-01-07 21:10:17.114510784+00:00,2004-02-06 21:10:17.114510784+00:00,148,148,0.5353175924184332,0.009336536804412572,True,6.108545290789762,-1.589820034764575e-07,,,null
2012-06-26 00:00:01.056313600+00:00,2012-07-26 00:00:01.056313600+00:00,44,44,0.7020190008722658,0.004673024504415818,True,5.285588928518667,-8.286044598243084e-10,,,null
2003-10-18 08:15:42.889947776+00:00,2003-11-17 08:15:42.889947776+00:00,46,46,0.8839622198030789,0.006101187603493077,True,5.266349573628813,-3.851958804094567e-09,,,null
2017-05-08 02:43:25.916730176+00:00,2017-06-07 02:43:25.916730176+00:00,29,29,,,False,4.967842740226095,-6.9083916808577565e-09,,,null
2011-02-12 11:38:24.521367360+00:00,2011-03-14 11:38:24.521367360+00:00,33,33,0.6470301536256122,0.0061184042761726195,True,5.400761234810805,-3.2550291192232884e-08,,,null
2009-06-29 17:18:02.158474240+00:00,2009-07-29 17:18:02.158474240+00:00,33,33,0.8337241362889649,-0.015064284224266002,True,5.209584087744991,2.265908053227198e-08,,,null
2007-07-07 03:28:26.156891328+00:00,2007-08-06 03:28:26.156891328+00:00,40,40,0.7494296495310645,0.0042909854782361735,True,5.381785386409182,7.098272702169688e-09,,,null
2015-09-15 03:12:57.020460608+00:00,2015-10-15 03:12:57.020460608+00:00,26,26,,,False,5.013424605346663,7.295695493970787e-09,,,null
